# Data size, MSE, MSE std. error
5.000000000000000000e+00,1.310570919125564782e+00,4.359299151786971693e-02
7.000000000000000000e+00,1.046407602748404608e+00,3.169624895457640035e-02
1.000000000000000000e+01,8.544709767080235219e-01,2.742675055447979168e-02
1.500000000000000000e+01,6.112243753221571207e-01,2.644893130526039179e-02
2.100000000000000000e+01,3.803138054440389215e-01,2.768147229051243219e-02
3.100000000000000000e+01,2.101381464399719456e-01,2.186461980184657011e-02
4.400000000000000000e+01,9.740804996838568763e-02,1.456550257527967386e-02
6.400000000000000000e+01,3.581357491061704784e-02,6.607352842775788757e-03
9.200000000000000000e+01,1.120548236802604292e-02,1.404876007167292148e-03
1.320000000000000000e+02,6.577619107199856457e-03,1.569583011981265635e-03
